changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,changepoint_range,seasonality_mode,yearly_seasonality,rmse,mape,mae,num_cutoffs
0.1,0.01,0.1,0.95,additive,True,438.21122671385825,0.08651445573900449,323.5585150002722,20
0.1,0.01,0.01,0.95,additive,True,438.21122671385825,0.08651445573900449,323.5585150002722,20
0.1,0.01,5.0,0.95,additive,True,438.21122671385825,0.08651445573900449,323.5585150002722,20
0.1,0.01,1.0,0.95,additive,True,438.21122671385825,0.08651445573900449,323.5585150002722,20
0.1,0.01,10.0,0.95,additive,True,438.21122671385825,0.08651445573900449,323.5585150002722,20
0.5,0.01,10.0,0.85,additive,True,450.1973000284316,0.08688036751534428,323.2540847849149,20
0.5,0.01,0.1,0.85,additive,True,450.1973000284316,0.08688036751534428,323.2540847849149,20
0.5,0.01,1.0,0.85,additive,True,450.1973000284316,0.08688036751534428,323.2540847849149,20
0.5,0.01,0.01,0.85,additive,True,450.1973000284316,0.08688036751534428,323.2540847849149,20
0.5,0.01,5.0,0.85,additive,True,450.1973000284316,0.08688036751534428,323.2540847849149,20
0.1,0.01,0.1,0.9,additive,True,447.46557256758626,0.08740476630824194,326.7044458029914,20
0.1,0.01,10.0,0.9,additive,True,447.46557256758626,0.08740476630824194,326.7044458029914,20
0.1,0.01,5.0,0.9,additive,True,447.46557256758626,0.08740476630824194,326.7044458029914,20
0.1,0.01,0.01,0.9,additive,True,447.46557256758626,0.08740476630824194,326.7044458029914,20
0.1,0.01,1.0,0.9,additive,True,447.46557256758626,0.08740476630824194,326.7044458029914,20
0.1,10.0,1.0,0.95,additive,True,449.3499269537724,0.08795330096204725,327.4034104789338,20
0.1,10.0,5.0,0.95,additive,True,449.3499269537724,0.08795330096204725,327.4034104789338,20
0.1,10.0,10.0,0.95,additive,True,449.3499269537724,0.08795330096204725,327.4034104789338,20
0.1,10.0,0.1,0.95,additive,True,449.3499269537724,0.08795330096204725,327.4034104789338,20
0.1,10.0,0.01,0.95,additive,True,449.3499269537724,0.08795330096204725,327.4034104789338,20
0.1,5.0,0.01,0.95,additive,True,454.32973362757235,0.08819360066976585,328.82807869958276,20
