changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,changepoint_range,seasonality_mode,yearly_seasonality,rmse,mape,mae,num_cutoffs
0.001,0.01,0.01,0.95,additive,True,213.89944816668572,0.08319661230810932,183.52246981206233,14
0.001,0.01,0.1,0.95,additive,True,213.89944816668572,0.08319661230810932,183.52246981206233,14
0.001,0.01,1.0,0.95,additive,True,213.89944816668572,0.08319661230810932,183.52246981206233,14
0.001,0.01,5.0,0.95,additive,True,213.89944816668572,0.08319661230810932,183.52246981206233,14
0.001,0.01,10.0,0.95,additive,True,213.89944816668572,0.08319661230810932,183.52246981206233,14
0.001,0.01,0.01,0.85,additive,True,214.00864701759787,0.08325458922954969,183.6302386986926,14
0.001,0.01,1.0,0.85,additive,True,214.00864701759787,0.08325458922954969,183.6302386986926,14
0.001,0.01,0.1,0.85,additive,True,214.00864701759787,0.08325458922954969,183.6302386986926,14
0.001,0.01,5.0,0.85,additive,True,214.00864701759787,0.08325458922954969,183.6302386986926,14
0.001,0.01,10.0,0.85,additive,True,214.00864701759787,0.08325458922954969,183.6302386986926,14
0.001,0.01,10.0,0.9,additive,True,214.0309228041829,0.0832569743324176,183.65667094257958,14
0.001,0.01,5.0,0.9,additive,True,214.0309228041829,0.0832569743324176,183.65667094257958,14
0.001,0.01,1.0,0.9,additive,True,214.0309228041829,0.0832569743324176,183.65667094257958,14
0.001,0.01,0.01,0.9,additive,True,214.0309228041829,0.0832569743324176,183.65667094257958,14
0.001,0.01,0.1,0.9,additive,True,214.0309228041829,0.0832569743324176,183.65667094257958,14
0.001,0.01,0.01,0.8,additive,True,214.3329493714035,0.08336528297196376,183.9845730644196,14
0.001,0.01,5.0,0.8,additive,True,214.3329493714035,0.08336528297196376,183.9845730644196,14
0.001,0.01,10.0,0.8,additive,True,214.3329493714035,0.08336528297196376,183.9845730644196,14
0.001,0.01,0.1,0.8,additive,True,214.3329493714035,0.08336528297196376,183.9845730644196,14
0.001,0.01,1.0,0.8,additive,True,214.3329493714035,0.08336528297196376,183.9845730644196,14
0.01,0.01,5.0,0.95,additive,True,214.760661083125,0.08375767148290528,184.58330369322437,14
0.01,0.01,1.0,0.95,additive,True,214.760661083125,0.08375767148290528,184.58330369322437,14
0.01,0.01,0.1,0.95,additive,True,214.760661083125,0.08375767148290528,184.58330369322437,14
0.01,0.01,0.01,0.95,additive,True,214.760661083125,0.08375767148290528,184.58330369322437,14
0.01,0.01,10.0,0.95,additive,True,214.760661083125,0.08375767148290528,184.58330369322437,14
0.01,0.01,0.01,0.9,additive,True,214.89853504553835,0.08378834782155878,184.65426634890534,14
0.01,0.01,1.0,0.9,additive,True,214.89853504553835,0.08378834782155878,184.65426634890534,14
0.01,0.01,0.1,0.9,additive,True,214.89853504553835,0.08378834782155878,184.65426634890534,14
0.01,0.01,10.0,0.9,additive,True,214.89853504553835,0.08378834782155878,184.65426634890534,14
0.01,0.01,5.0,0.9,additive,True,214.89853504553835,0.08378834782155878,184.65426634890534,14
0.01,0.01,10.0,0.8,additive,True,214.80580879693878,0.08379673632497024,184.66299364788412,14
0.01,0.01,5.0,0.8,additive,True,214.80580879693878,0.08379673632497024,184.66299364788412,14
0.01,0.01,1.0,0.8,additive,True,214.80580879693878,0.08379673632497024,184.66299364788412,14
0.01,0.01,0.01,0.8,additive,True,214.80580879693878,0.08379673632497024,184.66299364788412,14
0.01,0.01,0.1,0.8,additive,True,214.80580879693878,0.08379673632497024,184.66299364788412,14
0.01,0.01,0.01,0.85,additive,True,214.97405986527434,0.08383493184827505,184.74366587368388,14
0.01,0.01,10.0,0.85,additive,True,214.97405986527434,0.08383493184827505,184.74366587368388,14
0.01,0.01,5.0,0.85,additive,True,214.97405986527434,0.08383493184827505,184.74366587368388,14
0.01,0.01,0.1,0.85,additive,True,214.97405986527434,0.08383493184827505,184.74366587368388,14
0.01,0.01,1.0,0.85,additive,True,214.97405986527434,0.08383493184827505,184.74366587368388,14
0.001,0.1,10.0,0.9,additive,True,217.969362952683,0.08498412964894794,187.42497284700232,14
0.001,0.1,0.1,0.9,additive,True,217.969362952683,0.08498412964894794,187.42497284700232,14
0.001,0.1,1.0,0.9,additive,True,217.969362952683,0.08498412964894794,187.42497284700232,14
0.001,0.1,0.01,0.9,additive,True,217.969362952683,0.08498412964894794,187.42497284700232,14
0.001,0.1,5.0,0.9,additive,True,217.969362952683,0.08498412964894794,187.42497284700232,14
0.001,0.1,0.1,0.95,additive,True,218.0197563439391,0.08500749574695408,187.48112400260382,14
0.001,0.1,0.01,0.95,additive,True,218.0197563439391,0.08500749574695408,187.48112400260382,14
0.001,0.1,1.0,0.95,additive,True,218.0197563439391,0.08500749574695408,187.48112400260382,14
0.001,0.1,5.0,0.95,additive,True,218.0197563439391,0.08500749574695408,187.48112400260382,14
0.001,0.1,10.0,0.95,additive,True,218.0197563439391,0.08500749574695408,187.48112400260382,14
0.001,0.1,0.01,0.85,additive,True,218.0710438003993,0.08503233249315954,187.52123332832707,14
0.001,0.1,0.1,0.85,additive,True,218.0710438003993,0.08503233249315954,187.52123332832707,14
0.001,0.1,5.0,0.85,additive,True,218.0710438003993,0.08503233249315954,187.52123332832707,14
0.001,0.1,10.0,0.85,additive,True,218.0710438003993,0.08503233249315954,187.52123332832707,14
0.001,0.1,1.0,0.85,additive,True,218.0710438003993,0.08503233249315954,187.52123332832707,14
0.001,0.1,0.01,0.8,additive,True,218.3079964124666,0.08514341240648444,187.7611849827544,14
0.001,0.1,0.1,0.8,additive,True,218.3079964124666,0.08514341240648444,187.7611849827544,14
0.001,0.1,1.0,0.8,additive,True,218.3079964124666,0.08514341240648444,187.7611849827544,14
0.001,0.1,10.0,0.8,additive,True,218.3079964124666,0.08514341240648444,187.7611849827544,14
0.001,0.1,5.0,0.8,additive,True,218.3079964124666,0.08514341240648444,187.7611849827544,14
0.01,0.1,0.01,0.8,additive,True,219.1670638514289,0.08543217663676206,188.08197928736146,14
0.01,0.1,0.1,0.8,additive,True,219.1670638514289,0.08543217663676206,188.08197928736146,14
0.01,0.1,5.0,0.8,additive,True,219.1670638514289,0.08543217663676206,188.08197928736146,14
0.01,0.1,1.0,0.8,additive,True,219.1670638514289,0.08543217663676206,188.08197928736146,14
0.01,0.1,10.0,0.8,additive,True,219.1670638514289,0.08543217663676206,188.08197928736146,14
0.01,0.1,10.0,0.9,additive,True,219.3779541635752,0.08550509825931545,188.25144414148468,14
0.01,0.1,0.1,0.9,additive,True,219.3779541635752,0.08550509825931545,188.25144414148468,14
0.01,0.1,0.01,0.9,additive,True,219.3779541635752,0.08550509825931545,188.25144414148468,14
0.01,0.1,1.0,0.9,additive,True,219.3779541635752,0.08550509825931545,188.25144414148468,14
0.01,0.1,5.0,0.9,additive,True,219.3779541635752,0.08550509825931545,188.25144414148468,14
0.01,0.1,1.0,0.95,additive,True,219.76639732763823,0.08565332837476872,188.60479023978687,14
0.01,0.1,5.0,0.95,additive,True,219.76639732763823,0.08565332837476872,188.60479023978687,14
0.01,0.1,0.1,0.95,additive,True,219.76639732763823,0.08565332837476872,188.60479023978687,14
0.01,0.1,0.01,0.95,additive,True,219.76639732763823,0.08565332837476872,188.60479023978687,14
0.01,0.1,10.0,0.95,additive,True,219.76639732763823,0.08565332837476872,188.60479023978687,14
0.01,0.1,0.1,0.85,additive,True,219.81292597361687,0.08569679318715893,188.68760815782053,14
0.01,0.1,10.0,0.85,additive,True,219.81292597361687,0.08569679318715893,188.68760815782053,14
0.01,0.1,5.0,0.85,additive,True,219.81292597361687,0.08569679318715893,188.68760815782053,14
0.01,0.1,1.0,0.85,additive,True,219.81292597361687,0.08569679318715893,188.68760815782053,14
0.01,0.1,0.01,0.85,additive,True,219.81292597361687,0.08569679318715893,188.68760815782053,14
0.001,5.0,5.0,0.85,additive,True,226.49276279627094,0.08745916340496492,193.1787507459804,14
0.001,5.0,0.01,0.85,additive,True,226.49276279627094,0.08745916340496492,193.1787507459804,14
0.001,5.0,1.0,0.85,additive,True,226.49276279627094,0.08745916340496492,193.1787507459804,14
0.001,5.0,0.1,0.85,additive,True,226.49276279627094,0.08745916340496492,193.1787507459804,14
0.001,5.0,10.0,0.85,additive,True,226.49276279627094,0.08745916340496492,193.1787507459804,14
0.01,1.0,1.0,0.9,additive,True,227.91343675769417,0.08751264347125078,193.12013015166306,14
0.01,1.0,5.0,0.9,additive,True,227.91343675769417,0.08751264347125078,193.12013015166306,14
0.01,1.0,0.01,0.9,additive,True,227.91343675769417,0.08751264347125078,193.12013015166306,14
0.01,1.0,0.1,0.9,additive,True,227.91343675769417,0.08751264347125078,193.12013015166306,14
0.01,1.0,10.0,0.9,additive,True,227.91343675769417,0.08751264347125078,193.12013015166306,14
0.001,5.0,10.0,0.95,additive,True,226.63083010104452,0.0875314729507584,193.34686777502867,14
0.001,5.0,0.01,0.95,additive,True,226.63083010104452,0.0875314729507584,193.34686777502867,14
0.001,5.0,1.0,0.95,additive,True,226.63083010104452,0.0875314729507584,193.34686777502867,14
0.001,5.0,0.1,0.95,additive,True,226.63083010104452,0.0875314729507584,193.34686777502867,14
0.001,5.0,5.0,0.95,additive,True,226.63083010104452,0.0875314729507584,193.34686777502867,14
0.001,5.0,0.01,0.9,additive,True,226.65627747341517,0.08759397746883714,193.46384841768904,14
0.001,5.0,0.1,0.9,additive,True,226.65627747341517,0.08759397746883714,193.46384841768904,14
0.001,5.0,5.0,0.9,additive,True,226.65627747341517,0.08759397746883714,193.46384841768904,14
0.001,5.0,1.0,0.9,additive,True,226.65627747341517,0.08759397746883714,193.46384841768904,14
0.001,5.0,10.0,0.9,additive,True,226.65627747341517,0.08759397746883714,193.46384841768904,14
0.01,5.0,0.1,0.9,additive,True,228.46303088441468,0.08759716691927048,193.28109659448103,14
0.01,5.0,1.0,0.9,additive,True,228.46303088441468,0.08759716691927048,193.28109659448103,14
0.01,5.0,0.01,0.9,additive,True,228.46303088441468,0.08759716691927048,193.28109659448103,14
0.01,5.0,5.0,0.9,additive,True,228.46303088441468,0.08759716691927048,193.28109659448103,14
0.01,5.0,10.0,0.9,additive,True,228.46303088441468,0.08759716691927048,193.28109659448103,14
0.01,5.0,0.1,0.95,additive,True,228.54495240950078,0.08764157781340304,193.38244311244281,14
0.01,5.0,10.0,0.95,additive,True,228.54495240950078,0.08764157781340304,193.38244311244281,14
0.01,5.0,5.0,0.95,additive,True,228.54495240950078,0.08764157781340304,193.38244311244281,14
0.01,5.0,0.01,0.95,additive,True,228.54495240950078,0.08764157781340304,193.38244311244281,14
0.01,5.0,1.0,0.95,additive,True,228.54495240950078,0.08764157781340304,193.38244311244281,14
0.01,5.0,0.1,0.8,additive,True,228.61469938220282,0.08767959545725787,193.46940442397272,14
0.01,5.0,0.01,0.8,additive,True,228.61469938220282,0.08767959545725787,193.46940442397272,14
0.01,5.0,5.0,0.8,additive,True,228.61469938220282,0.08767959545725787,193.46940442397272,14
0.01,5.0,1.0,0.8,additive,True,228.61469938220282,0.08767959545725787,193.46940442397272,14
0.01,5.0,10.0,0.8,additive,True,228.61469938220282,0.08767959545725787,193.46940442397272,14
0.01,5.0,1.0,0.85,additive,True,228.66708861658444,0.08769715828991584,193.50396669711083,14
0.01,5.0,10.0,0.85,additive,True,228.66708861658444,0.08769715828991584,193.50396669711083,14
0.01,5.0,5.0,0.85,additive,True,228.66708861658444,0.08769715828991584,193.50396669711083,14
0.01,5.0,0.01,0.85,additive,True,228.66708861658444,0.08769715828991584,193.50396669711083,14
0.01,5.0,0.1,0.85,additive,True,228.66708861658444,0.08769715828991584,193.50396669711083,14
0.001,5.0,10.0,0.8,additive,True,226.86331994448602,0.08773536958324964,193.76248774076393,14
0.001,5.0,0.01,0.8,additive,True,226.86331994448602,0.08773536958324964,193.76248774076393,14
0.001,5.0,1.0,0.8,additive,True,226.86331994448602,0.08773536958324964,193.76248774076393,14
0.001,5.0,0.1,0.8,additive,True,226.86331994448602,0.08773536958324964,193.76248774076393,14
0.001,5.0,5.0,0.8,additive,True,226.86331994448602,0.08773536958324964,193.76248774076393,14
