changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,changepoint_range,seasonality_mode,yearly_seasonality,rmse,mape,mae,num_cutoffs
0.001,0.01,0.01,0.95,additive,True,238.7545386482218,0.05910723423772804,186.71572009722777,20
0.001,0.01,0.1,0.95,additive,True,238.7545386482218,0.05910723423772804,186.71572009722777,20
0.001,0.01,1.0,0.95,additive,True,238.7545386482218,0.05910723423772804,186.71572009722777,20
0.001,0.01,5.0,0.95,additive,True,238.7545386482218,0.05910723423772804,186.71572009722777,20
0.001,0.01,10.0,0.95,additive,True,238.7545386482218,0.05910723423772804,186.71572009722777,20
0.001,0.01,0.1,0.9,additive,True,238.7790302358615,0.059116032244287305,186.7382624839448,20
0.001,0.01,1.0,0.9,additive,True,238.7790302358615,0.059116032244287305,186.7382624839448,20
0.001,0.01,0.01,0.9,additive,True,238.7790302358615,0.059116032244287305,186.7382624839448,20
0.001,0.01,5.0,0.9,additive,True,238.7790302358615,0.059116032244287305,186.7382624839448,20
0.001,0.01,10.0,0.9,additive,True,238.7790302358615,0.059116032244287305,186.7382624839448,20
0.001,0.01,5.0,0.85,additive,True,239.33388469695802,0.059238387307567655,187.13293474608528,20
0.001,0.01,10.0,0.85,additive,True,239.33388469695802,0.059238387307567655,187.13293474608528,20
0.001,0.01,0.1,0.85,additive,True,239.33388469695802,0.059238387307567655,187.13293474608528,20
0.001,0.01,0.01,0.85,additive,True,239.33388469695802,0.059238387307567655,187.13293474608528,20
0.001,0.01,1.0,0.85,additive,True,239.33388469695802,0.059238387307567655,187.13293474608528,20
0.001,0.01,0.01,0.8,additive,True,239.37697162831654,0.05926777464947748,187.22061121751804,20
0.001,0.01,10.0,0.8,additive,True,239.37697162831654,0.05926777464947748,187.22061121751804,20
0.001,0.01,5.0,0.8,additive,True,239.37697162831654,0.05926777464947748,187.22061121751804,20
0.001,0.01,0.1,0.8,additive,True,239.37697162831654,0.05926777464947748,187.22061121751804,20
0.001,0.01,1.0,0.8,additive,True,239.37697162831654,0.05926777464947748,187.22061121751804,20
0.01,0.01,0.1,0.95,additive,True,239.6076334186926,0.059592080867855404,188.17298414996765,20
0.01,0.01,0.01,0.95,additive,True,239.6076334186926,0.059592080867855404,188.17298414996765,20
0.01,0.01,5.0,0.95,additive,True,239.6076334186926,0.059592080867855404,188.17298414996765,20
0.01,0.01,1.0,0.95,additive,True,239.6076334186926,0.059592080867855404,188.17298414996765,20
0.01,0.01,10.0,0.95,additive,True,239.6076334186926,0.059592080867855404,188.17298414996765,20
0.01,0.01,5.0,0.9,additive,True,239.78938708659166,0.05965779559346384,188.36116409034275,20
0.01,0.01,0.01,0.9,additive,True,239.78938708659166,0.05965779559346384,188.36116409034275,20
0.01,0.01,0.1,0.9,additive,True,239.78938708659166,0.05965779559346384,188.36116409034275,20
0.01,0.01,1.0,0.9,additive,True,239.78938708659166,0.05965779559346384,188.36116409034275,20
0.01,0.01,10.0,0.9,additive,True,239.78938708659166,0.05965779559346384,188.36116409034275,20
0.01,0.01,0.01,0.85,additive,True,239.89387382903934,0.05968908471374358,188.46805965553133,20
0.01,0.01,0.1,0.85,additive,True,239.89387382903934,0.05968908471374358,188.46805965553133,20
0.01,0.01,1.0,0.85,additive,True,239.89387382903934,0.05968908471374358,188.46805965553133,20
0.01,0.01,5.0,0.85,additive,True,239.89387382903934,0.05968908471374358,188.46805965553133,20
0.01,0.01,10.0,0.85,additive,True,239.89387382903934,0.05968908471374358,188.46805965553133,20
0.01,0.01,1.0,0.8,additive,True,239.89047370078956,0.05969623499163916,188.50839544427163,20
0.01,0.01,10.0,0.8,additive,True,239.89047370078956,0.05969623499163916,188.50839544427163,20
0.01,0.01,5.0,0.8,additive,True,239.89047370078956,0.05969623499163916,188.50839544427163,20
